test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.zeppelin.helium.HeliumBundleFactoryTest#switchVersion@;@8@;@9@;@230@;@0@;@1@;@3285@;@3299@;@9@;@29m 19s
org.apache.zeppelin.interpreter.launcher.SparkInterpreterLauncherTest#testYarnClusterMode_2@;@10@;@11@;@4011@;@0@;@2@;@1491@;@1499@;@11@;@29m 14s
org.apache.zeppelin.interpreter.launcher.SparkInterpreterLauncherTest#testYarnClusterMode_1@;@10@;@11@;@4183@;@0@;@2@;@1324@;@1472@;@11@;@29m 53s
org.apache.zeppelin.notebook.repo.VFSNotebookRepoTest#testNoteNameWithColon@;@6@;@7@;@239328@;@239328@;@0@;@2155@;@2166@;@7@;@29m 55s
org.apache.zeppelin.notebook.NotebookTest#testExportAndImportNote@;@139@;@139@;@635@;@635@;@0@;@8662@;@10118@;@139@;@29m 44s
org.apache.zeppelin.interpreter.remote.RemoteAngularObjectTest#testAngularObjectInterpreterSideCRUD@;@141@;@141@;@191@;@142@;@2@;@8009@;@8085@;@141@;@29m 34s
org.apache.zeppelin.interpreter.launcher.StandardInterpreterLauncherTest#testConnectTimeOut@;@11@;@12@;@7094@;@5434@;@1@;@1248@;@1738@;@12@;@29m 56s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testPerUserIsolatedMode@;@10@;@10@;@195384@;@195384@;@0@;@4205@;@4208@;@10@;@29m 54s
org.apache.zeppelin.notebook.repo.GitNotebookRepoTest#showNotebookHistoryMultipleNotesTest@;@6@;@7@;@10674@;@10674@;@0@;@7038@;@7063@;@7@;@29m 53s
org.apache.zeppelin.helium.HeliumBundleFactoryTest#bundleLocalPackage@;@8@;@9@;@231@;@0@;@1@;@3280@;@3299@;@9@;@29m 24s
org.apache.zeppelin.interpreter.launcher.SparkInterpreterLauncherTest#testConnectTimeOut@;@14@;@14@;@7343@;@5027@;@1@;@1327@;@1902@;@14@;@29m 41s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testEnvStringPattern@;@16@;@22@;@1838@;@1838@;@0@;@3396@;@7709@;@22@;@29m 54s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testMultiInterpreterSession@;@19@;@22@;@1257@;@1257@;@0@;@6614@;@6627@;@22@;@29m 54s
org.apache.zeppelin.interpreter.InterpreterSettingManagerTest#testRestartPerNoteScoped@;@19@;@20@;@1971@;@1971@;@0@;@3673@;@6571@;@20@;@29m 53s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterOutputTestStream#testInterpreterResultOutputStreamMixed@;@15@;@21@;@2053@;@0@;@1@;@6331@;@6345@;@21@;@29m 54s
org.apache.zeppelin.notebook.NotebookTest#testRevisionSupported@;@18@;@19@;@1900@;@1897@;@1@;@3701@;@6614@;@19@;@29m 51s
org.apache.zeppelin.notebook.NotebookTest#testCloneImportCheck@;@22@;@26@;@1518@;@1518@;@0@;@4125@;@7063@;@26@;@29m 51s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testInterpreterJsonSerializable@;@5@;@5@;@250620@;@250620@;@0@;@2230@;@2230@;@5@;@29m 55s
org.apache.zeppelin.interpreter.ConfInterpreterTest#testRunningAfterOtherInterpreter@;@141@;@141@;@338@;@242@;@2@;@6383@;@7978@;@141@;@29m 46s
org.apache.zeppelin.interpreter.ConfInterpreterTest#testEmptyConf@;@18@;@21@;@2401@;@2401@;@0@;@3459@;@6449@;@21@;@29m 53s
org.apache.zeppelin.notebook.ParagraphTest#should_extract_variable_from_angular_object_registry@;@16@;@22@;@2048@;@2048@;@0@;@5736@;@7257@;@22@;@29m 53s
org.apache.zeppelin.interpreter.launcher.SparkInterpreterLauncherTest#testYarnClientMode_1@;@13@;@14@;@29279@;@0@;@3@;@1326@;@1920@;@14@;@29m 41s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testExecuteCorrectPrecode@;@141@;@141@;@286@;@216@;@2@;@8619@;@8696@;@141@;@29m 45s
org.apache.zeppelin.notebook.NotebookTest#testClearParagraphOutput@;@139@;@139@;@258@;@219@;@1@;@6593@;@9691@;@139@;@29m 38s
org.apache.zeppelin.notebook.NotebookTest#testReloadAllNotes@;@21@;@25@;@1685@;@1685@;@0@;@4719@;@7587@;@25@;@29m 51s
org.apache.zeppelin.interpreter.install.InstallInterpreterTest#install@;@5@;@5@;@4631@;@4631@;@0@;@10266@;@10314@;@5@;@29m 51s
org.apache.zeppelin.interpreter.remote.RemoteAngularObjectTest#testAngularObjectRemovalOnZeppelinServerSide@;@141@;@141@;@211@;@163@;@2@;@5153@;@8124@;@141@;@29m 36s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#getAllowedOrigins2Test@;@16@;@16@;@49436@;@49436@;@0@;@3844@;@3844@;@16@;@29m 54s
org.apache.zeppelin.search.LuceneSearchTest#canNotSearchBeforeIndexing@;@6@;@6@;@327214@;@327214@;@0@;@2521@;@2521@;@6@;@29m 52s
org.apache.zeppelin.notebook.ParagraphTest#returnDefaultParagraphWithNewUser@;@15@;@21@;@1877@;@1877@;@0@;@3323@;@6339@;@21@;@29m 52s
org.apache.zeppelin.interpreter.launcher.SparkInterpreterLauncherTest#testYarnClusterMode_3@;@10@;@11@;@3433@;@0@;@2@;@1354@;@1494@;@11@;@29m 37s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testSharedMode@;@141@;@141@;@289@;@262@;@1@;@5181@;@8141@;@141@;@29m 37s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncInitializationTest#validInitTwoStorageTest@;@6@;@6@;@229966@;@229966@;@0@;@1676@;@1676@;@6@;@29m 55s
