test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testWriteInNonExistentDirectory@;@533@;@533@;@1507@;@1507@;@0@;@18563@;@20205@;@93@;@29m 29s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testOpen2@;@529@;@530@;@1484@;@1484@;@0@;@19696@;@20833@;@94@;@29m 28s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testRenameFileAsExistingDirectory@;@529@;@529@;@1742@;@1742@;@0@;@18502@;@20236@;@93@;@29m 30s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractMultipartUploader#testUploadEmptyBlock@;@526@;@530@;@2637@;@2635@;@1@;@1962@;@8276@;@97@;@29m 34s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testRenameAcrossFileSystemsViaLink@;@535@;@536@;@1925@;@1925@;@0@;@12923@;@14791@;@6@;@29m 34s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testCreateFlagCreateAppendNonExistingFile@;@523@;@524@;@2565@;@2565@;@0@;@12494@;@14463@;@5@;@29m 32s
org.apache.hadoop.hdfs.TestAppendSnapshotTruncate#testAST@;@529@;@530@;@3339@;@1@;@1@;@18381@;@18998@;@16@;@29m 4s
org.apache.hadoop.hdfs.TestDecommissionWithStriped#testFileMultipleBlockGroups@;@529@;@540@;@2086@;@0@;@17@;@2826@;@4210@;@126@;@29m 4s
org.apache.hadoop.hdfs.server.namenode.TestQuotaByStorageType#testQuotaByStorageTypePersistenceInEditLog@;@532@;@543@;@921@;@0@;@14@;@2259@;@3703@;@116@;@29m 28s
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testgetFSonDanglingLink@;@523@;@540@;@389@;@0@;@6@;@12524@;@15842@;@109@;@26m 40s
org.apache.hadoop.fs.viewfs.TestViewFileSystemAtHdfsRoot#testRenameAcrossMounts3@;@525@;@540@;@2536@;@0@;@1@;@12127@;@14369@;@18@;@29m 33s
