test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.fs.viewfs.TestViewFileSystemAtHdfsRoot#testgetFSonDanglingLink,525,540,1089,0,2,0,0,14m 32s
org.apache.hadoop.hdfs.server.namenode.ha.TestHASafeMode#testAppendWhileInSafeMode,629,629,2068,0,4,0,0,14m 35s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testAppend,525,532,1862,0,2,0,0,14m 29s
org.apache.hadoop.hdfs.server.namenode.snapshot.TestSnapshotDeletion#testCorrectNumberOfBlocksAfterRestart,531,531,1686,0,4,0,0,14m 29s
org.apache.hadoop.hdfs.server.namenode.snapshot.TestSnapshotDeletion#testSnapshotDeleteWithConcat,531,531,1748,0,4,0,0,14m 28s
org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManager#testNeededReconstructionWhileAppending,527,538,73,0,3,0,0,14m 5s
org.apache.hadoop.hdfs.server.namenode.ha.TestRetryCacheWithHA#testRetryCacheOnStandbyNN,625,625,2050,0,4,0,0,14m 30s
org.apache.hadoop.hdfs.TestFileCreation#testFileCreationError1,525,525,1959,0,4,0,0,14m 29s
org.apache.hadoop.hdfs.server.namenode.ha.TestHAMetrics#testHAInodeCount,629,629,2104,0,4,0,0,14m 31s
org.apache.hadoop.hdfs.server.datanode.TestBPOfferService#testLocklessBlockPoolId,77,77,1747,1747,0,2895,2905,14m 50s
org.apache.hadoop.hdfs.server.namenode.ha.TestPendingCorruptDnMessages#testChangedStorageId,636,636,2074,0,4,0,0,14m 30s
org.apache.hadoop.hdfs.server.namenode.ha.TestQuotasWithHA#testGetQuotaUsageOnStandby,629,629,2325,0,4,0,0,14m 39s
org.apache.hadoop.hdfs.server.namenode.TestCreateEditsLog#testCanLoadCreatedEditsLog,524,524,2272,0,4,0,0,14m 40s
org.apache.hadoop.hdfs.TestEncryptionZones#testGetTrashRoots,545,545,2010,0,4,0,0,14m 38s
org.apache.hadoop.hdfs.TestEncryptionZones#testProvisionTrash,537,537,1986,0,4,0,0,14m 41s
org.apache.hadoop.hdfs.server.namenode.ha.TestHAStateTransitions#testLeasesRenewedOnTransition,623,623,2123,0,4,0,0,14m 41s
org.apache.hadoop.hdfs.server.namenode.ha.TestHASafeMode#testTransitionToActiveWhenSafeMode,623,623,2056,0,4,0,0,14m 39s
org.apache.hadoop.hdfs.TestHDFSFileSystemContract#testWriteReadAndDeleteHalfABlock,526,526,2066,0,2,0,0,14m 40s
