test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testBeanStyleObjects@;@2@;@2@;@335446@;@335446@;@0@;@236@;@236@;@2@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testCompositeObject@;@2@;@2@;@336206@;@336204@;@1@;@198@;@240@;@2@;@29m 56s
org.apache.flink.configuration.ConfigurationTest#testMapParserErrorDoesNotLeakSensitiveData@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testShouldParseValidStringToEnumIgnoringCase@;@1@;@1@;@335667@;@335667@;@0@;@148@;@148@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testBeanStyleObjects@;@1@;@1@;@336213@;@336213@;@0@;@109@;@109@;@1@;@29m 56s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testSerialization@;@4@;@4@;@335583@;@335583@;@0@;@509@;@509@;@3@;@29m 56s
org.apache.flink.core.security.FlinkSecurityManagerTest#testLogConfiguration@;@2@;@2@;@334520@;@334520@;@0@;@197@;@197@;@2@;@29m 55s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testNestedInterfaces@;@2@;@2@;@334605@;@334603@;@1@;@69@;@117@;@2@;@29m 56s
org.apache.flink.configuration.ConfigurationTest#testFallbackKeys@;@7@;@7@;@100000@;@0@;@2@;@985@;@1001@;@4@;@3m 5s
org.apache.flink.api.common.state.StateDescriptorTest#testSerializerLazyInitializeInParallel@;@2@;@2@;@334699@;@334698@;@1@;@97@;@147@;@2@;@29m 56s
org.apache.flink.api.common.io.FileOutputFormatTest#testCreateNonParallelLocalFS@;@13@;@13@;@294809@;@294809@;@0@;@690@;@690@;@0@;@29m 56s
org.apache.flink.api.common.state.ValueStateDescriptorTest#testVeryLargeDefaultValue@;@1@;@1@;@5037@;@5037@;@0@;@787@;@793@;@1@;@29m 55s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testDelimiterOnBufferBoundary@;@17@;@17@;@222438@;@221411@;@1@;@659@;@659@;@5@;@30m 25s
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testTwoNestedDirectoriesTrue@;@13@;@13@;@131713@;@131580@;@1@;@613@;@613@;@1@;@29m 57s
org.apache.flink.configuration.ConfigUtilsTest#nullCollectionPutsNothingInConfig@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testThrowsExceptionIfTryingToParseInvalidStringForEnum@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testOptionWithDefault@;@4@;@4@;@100000@;@0@;@1@;@991@;@1006@;@3@;@3m 0s
