test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.fs.viewfs.TestChRootedFs#testList,23,23,5330,5330,0,1856,1859,14m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFs#testResolvePath,23,23,5699,5699,0,1788,1789,14m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFs#testWorkingDirectory,23,23,5246,5246,0,1878,1879,14m 55s
org.apache.hadoop.security.TestAuthenticationFilter#testConfiguration,11,11,7461,7461,0,1413,1413,14m 55s
org.apache.hadoop.security.TestLdapGroupsMappingWithBindUserSwitch#testBindUserSwitchPasswordPlaintext,28,35,6263,4536,2,2008,2030,14m 54s
org.apache.hadoop.io.compress.lz4.TestLz4CompressorDecompressor#testLz4Compatibility,32,32,1835,887,9,2000,2122,14m 55s
org.apache.hadoop.security.TestLdapGroupsMapping#testGetGroupsWithConnectionClosed,26,31,6342,0,3,0,0,14m 54s
org.apache.hadoop.io.compress.TestCodec#testSnappyMapFile,36,36,1068,422,20,2655,2740,14m 55s
org.apache.hadoop.io.TestSequenceFile#testClose,33,33,2586,1634,6,2424,2530,14m 55s
org.apache.hadoop.fs.viewfs.TestViewFsWithAuthorityLocalFs#testGetFileChecksum,36,36,5035,5035,0,2551,2552,14m 53s
org.apache.hadoop.fs.viewfs.TestViewFsWithAuthorityLocalFs#testListLocatedStatus,39,39,4636,0,3,0,0,14m 53s
org.apache.hadoop.fs.viewfs.TestViewFsWithAuthorityLocalFs#testListStatusIterator,39,39,4879,0,3,0,0,14m 53s
org.apache.hadoop.ipc.TestDecayRpcScheduler#testAccumulate,11,11,5839,5462,3,1963,1968,14m 53s
org.apache.hadoop.ipc.TestDecayRpcScheduler#testPriority,10,10,6141,5745,2,2329,2339,14m 53s
org.apache.hadoop.http.TestAuthenticationSessionCookie#testPersistentCookie,43,43,163,0,3,0,0,1m 36s
org.apache.hadoop.ha.TestZKFailoverController#testGracefulFailover,62,62,23,0,3,0,0,13s
org.apache.hadoop.log.TestLogLevel#testDynamicLogLevel,16,16,772,0,2,0,0,14m 52s
org.apache.hadoop.fs.viewfs.TestViewFsLocalFs#testGetFileChecksum,36,36,4341,4341,0,2543,2543,14m 53s
org.apache.hadoop.fs.viewfs.TestViewFsLocalFs#testListLocatedStatus,39,39,4737,0,3,0,0,14m 53s
org.apache.hadoop.fs.viewfs.TestViewFsLocalFs#testListStatusIterator,39,39,5230,0,3,0,0,14m 53s
org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testClientRetriesIfMaxAttemptsNotSet,3,10,28,0,2,0,0,14m 37s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractSeek#testRandomSeeks,31,31,20,0,2,1035,1035,12m 7s
org.apache.hadoop.io.file.tfile.TestTFileSeqFileComparison#testRunComparisons,37,37,27,0,4,0,0,13m 26s
org.apache.hadoop.io.TestArrayFile#testArrayFileIteration,35,35,3709,2984,2,1458,2748,14m 54s
org.apache.hadoop.ipc.TestIPCServerResponder#testResponseBuffer,54,54,2557,1,2,2929,2929,14m 54s
org.apache.hadoop.io.compress.TestCodec#testSequenceFileDefaultCodec,33,33,145,80,6,2435,2471,14m 49s
org.apache.hadoop.fs.TestFileSystemCaching#testCacheEnabledWithInitializeForeverFS,28,28,58,50,2,1312,1317,13m 32s
org.apache.hadoop.ha.TestZKFailoverControllerStress#testExpireBackAndForth,65,65,0,0,0,0,0,0s
org.apache.hadoop.ha.TestZKFailoverControllerStress#testRandomHealthAndDisconnects,65,65,0,0,0,0,0,1s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek#testRandomSeeks,32,32,45,0,3,1035,1040,12m 12s
org.apache.hadoop.security.authentication.server.TestProxyUserAuthenticationFilter#testFilter,11,11,5410,5410,0,1800,1800,14m 53s
org.apache.hadoop.util.TestJsonSerialization#testFileSystemEmptyPath,29,29,6285,6269,2,1243,1248,14m 54s
org.apache.hadoop.service.launcher.TestServiceLauncherCreationFailures#testFailInStopIsIgnored,1,1,6336,6336,0,1138,1143,14m 56s
org.apache.hadoop.service.launcher.TestServiceLauncherCreationFailures#testFailInStart,1,1,6406,6406,0,1138,1143,14m 56s
org.apache.hadoop.fs.viewfs.TestViewFileSystemDelegationTokenSupport#testGetCanonicalServiceNameWithDefaultMountTable,38,42,6390,6088,1,1280,1280,14m 55s
org.apache.hadoop.fs.viewfs.TestViewFileSystemDelegationTokenSupport#testGetCanonicalServiceNameWithNonDefaultMountTable,38,44,6481,6442,2,1266,1710,14m 55s
org.apache.hadoop.security.TestUserGroupInformation#testTokenLogin,16,16,6531,6531,0,1100,1101,14m 56s
org.apache.hadoop.security.TestUserGroupInformation#testUGITokens,16,16,6638,6327,3,1969,1995,14m 54s
org.apache.hadoop.util.TestGenericOptionsParser#testCreateWithOptions,28,28,6529,6472,1,1580,1615,14m 55s
org.apache.hadoop.util.TestFindClass#testLoadPrivateClass,1,1,5687,5687,0,1139,1139,14m 56s
org.apache.hadoop.security.TestUserFromEnv#testUserFromEnvironment,18,18,6390,6390,0,979,979,14m 56s
org.apache.hadoop.fs.TestDelegateToFsCheckPath#testCheckPathWithDefaultPort,2,2,5994,5994,0,1074,1074,14m 56s
org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsJClassComparatorByteArrays#testOneDataEntry,32,32,436,367,5,2220,2233,14m 54s
org.apache.hadoop.io.file.tfile.TestTFileJClassComparatorByteArrays#testOneDataEntry,33,33,382,337,9,2404,2508,14m 55s
org.apache.hadoop.ha.TestSshFenceByTcpPort#testConnectTimeout,1,3,280,280,0,1193,1198,14m 48s
org.apache.hadoop.security.TestLdapGroupsMapping#testLdapConnectionTimeout,26,31,278,278,0,2359,2831,14m 48s
org.apache.hadoop.ipc.TestIPCServerResponder#testDeferResponse,54,54,276,276,0,2811,2853,14m 50s
org.apache.hadoop.ipc.TestRpcServerHandoff#testDeferredException,54,54,276,276,0,2933,2972,14m 51s
org.apache.hadoop.ipc.TestRpcServerHandoff#testDeferredResponse,54,54,279,279,0,2777,2820,14m 52s
org.apache.hadoop.io.file.tfile.TestTFile#testTFileFeatures,34,34,348,225,5,2500,2633,14m 52s
org.apache.hadoop.fs.TestFileSystemCaching#testCacheLargeSemaphoreConstruction,23,23,5738,5556,1,1418,1479,14m 55s
org.apache.hadoop.io.file.tfile.TestTFileByteArrays#testOneBlockPlusOneEntry,33,33,946,805,6,2381,2505,14m 54s
org.apache.hadoop.security.alias.TestCredentialProviderFactory#testJksProvider,34,34,417,368,4,2405,2552,14m 51s
