Bug ID	Bug Type	Project	Config	Test	Github Issue	Seriousness	Report Status	Report URL	Note	Report Status
Bug-131	Test Bug	HCommon	hadoop.security.key.default.bitlength=12769	org.apache.hadoop.crypto.key.TestKeyProviderFactory#testJksProviderPasswordViaConfig					No Message	
Bug-132	State Polluter	MapReduce	fs.permissions.umask-mode		https://github.com/xlab-uiuc/confuzz/issues/136		Opened	https://issues.apache.org/jira/browse/MAPREDUCE-7443		Reported
Bug-133	State Polluter	HDFS	dfs.namenode.storage.dir.perm		https://github.com/xlab-uiuc/confuzz/issues/105		Opened	https://issues.apache.org/jira/browse/HDFS-17104		Reported
Bug-134	State Polluter	Hive	hive.scratch.dir.permission	org.apache.hadoop.hive.ql.processors.TestSetProcessor#testHiddenConfig						
Bug-135	Ad-hoc Ones	Flink			https://github.com/xlab-uiuc/confuzz/issues/135	Low			YAML Parsing	
Bug-136	Ad-hoc Ones	JQF			https://github.com/xlab-uiuc/confuzz/issues/134		Opened	https://github.com/rohanpadhye/JQF/issues/234	Coverage Calculation	
Bug-137	Ad-hoc Ones	Hive	hive.hook.proto.rollover-interval		https://github.com/xlab-uiuc/confuzz/issues/126	Low			Wrong Validator	
Bug-138	Ad-hoc Ones	Kylin	kylin.cube.cuboid-scheduler		https://github.com/xlab-uiuc/confuzz/issues/128	Medium			Misleading Inheritance	
Bug-139	Ad-hoc Ones	Hive	hive.mapjoin.optimized.hashtable.wbsize		https://github.com/xlab-uiuc/confuzz/issues/132		Opened	https://issues.apache.org/jira/browse/HIVE-27519	Infinite Loop	Reported
Bug-140	Ad-hoc Ones	MapReduce	io.file.buffer.size		https://github.com/xlab-uiuc/confuzz/issues/133		Opened	https://issues.apache.org/jira/browse/MAPREDUCE-7444	Extra Line Read	Reported
Bug-141	Ad-hoc Ones	HDFS	dfs.namenode.max.extra.edits.segments.retained		https://github.com/xlab-uiuc/confuzz/issues/121		Opened	https://issues.apache.org/jira/browse/HDFS-17105	Infinite Log Purge	Reported
Bug-142	Ad-hoc Ones	Yarn	ipc.server.read.threadpool.size		https://github.com/xlab-uiuc/confuzz/issues/111		Opened	https://issues.apache.org/jira/browse/YARN-11530	Out of Reader	Reported
Bug-143	Ad-hoc Ones	HCommon	fs.viewfs.mounttable.default.name.key		https://github.com/xlab-uiuc/confuzz/issues/109		Opened	https://issues.apache.org/jira/browse/HADOOP-18802	Config Key Collision	Reported
Bug-144	Ad-hoc Ones	HCommon	hadoop.security.group.mapping.ldap.search.group.hierarchy.levels		https://github.com/xlab-uiuc/confuzz/issues/107		Opened	https://issues.apache.org/jira/browse/HADOOP-18821	Null Pointer?	Reported
